Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,Era,Decade,Century,Country,Label Name
1948.0,1.0,24.0,17.0,46.0,40.0,1777.0,,"PHILIPPINES:  PANAY, ILOILO CITY, ANTIQUE",10.5,122.0,33.0,8.3,9.0,72.0,2.0,,,,,3.5,2.0,,3.0,,3.0,74.0,2.0,,,,,3.5,2.0,,3.0,,3.0,BC,194,20,PHILIPPINES,"Year: 1948 
  Location: PHILIPPINES:  PANAY, ILOILO CITY, ANTIQUE"
1949.0,8.0,22.0,4.0,1.0,12.2,1795.0,,CANADA:  QUEEN CHARLOTTE ISLANDS,53.62,-133.27,25.0,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,BC,194,20,CANADA,"Year: 1949 
  Location: CANADA:  QUEEN CHARLOTTE ISLANDS"
1950.0,8.0,15.0,14.0,9.0,30.0,1806.0,,INDIA-CHINA,28.5,96.5,33.0,8.6,11.0,1530.0,4.0,,,,,20.0,3.0,,,,,1530.0,4.0,,,,,20.0,3.0,,,,,BC,195,20,INDIA-CHINA,"Year: 1950 
  Location: INDIA-CHINA"
1951.0,5.0,16.0,13.0,23.0,0.0,,,PERU,-15.0,-69.5,250.0,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,BC,195,20,PERU,"Year: 1951 
  Location: PERU"
1952.0,11.0,4.0,16.0,58.0,27.9,1829.0,,RUSSIA:  KAMCHATKA PENINSULA,52.755,160.05700000000002,22.0,9.0,7.0,,1.0,,,,,,,,,,,10000.0,4.0,,,,,,3.0,,,,,BC,195,20,RUSSIA,"Year: 1952 
  Location: RUSSIA:  KAMCHATKA PENINSULA"
1953.0,5.0,6.0,17.0,16.0,43.0,1836.0,,"CHILE:  CHILLAN, CONCEPCION",-36.5,-72.5,60.0,7.6,10.0,9.0,1.0,,,26.0,1.0,500.0,4.0,,,,,9.0,1.0,,,26.0,1.0,500.0,4.0,,,,,BC,195,20,CHILE,"Year: 1953 
  Location: CHILE:  CHILLAN, CONCEPCION"
1954.0,3.0,21.0,23.0,42.0,11.0,,,"MYANMAR; INDIA:  CALCUTTA, CUTTACK, BHAGALPUR",24.5,95.3,180.0,7.4,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,BC,195,20,MYANMAR; INDIA,"Year: 1954 
  Location: MYANMAR; INDIA:  CALCUTTA, CUTTACK, BHAGALPUR"
1955.0,2.0,27.0,20.0,43.0,0.0,,,KERMADEC ISLANDS,-28.0,-175.5,60.0,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,BC,195,20,KERMADEC ISLANDS,"Year: 1955 
  Location: KERMADEC ISLANDS"
1956.0,7.0,9.0,3.0,11.0,39.0,1859.0,,GREECE:  DODECANESE,36.9,26.0,20.0,7.8,9.0,53.0,2.0,,,,,,3.0,,,,,56.0,2.0,,,,,,3.0,,,,,BC,195,20,GREECE,"Year: 1956 
  Location: GREECE:  DODECANESE"
1957.0,3.0,9.0,14.0,22.0,31.9,1867.0,3117.0,ALASKA,51.292,-175.62900000000002,33.0,8.6,,,,,,,,,1.0,,,,,2.0,1.0,,,1.0,1.0,,3.0,,,,,BC,195,20,ALASKA,"Year: 1957 
  Location: ALASKA"
1958.0,11.0,6.0,22.0,58.0,8.6,1884.0,,RUSSIA:  KURIL ISLANDS,44.53,148.54,40.0,8.3,10.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,BC,195,20,RUSSIA,"Year: 1958 
  Location: RUSSIA:  KURIL ISLANDS"
1959.0,5.0,4.0,7.0,15.0,42.0,1890.0,,RUSSIA:  NEAR EAST COAST OF KAMCHATKA,52.5,159.5,60.0,8.2,10.0,1.0,1.0,,,13.0,1.0,,2.0,,2.0,,,1.0,1.0,,,13.0,1.0,,2.0,,2.0,,,BC,195,20,RUSSIA,"Year: 1959 
  Location: RUSSIA:  NEAR EAST COAST OF KAMCHATKA"
1960.0,5.0,22.0,19.0,11.0,17.0,1902.0,4153.0,"CHILE:  PUERTO MONTT, VALDIVIA",-38.143,-73.407,33.0,9.5,12.0,2000.0,4.0,,,3000.0,4.0,1000.0,4.0,58622.0,4.0,,,2226.0,4.0,,,3000.0,4.0,1000.0,4.0,58622.0,4.0,,,BC,196,20,CHILE,"Year: 1960 
  Location: CHILE:  PUERTO MONTT, VALDIVIA"
1961.0,9.0,8.0,11.0,26.0,32.3,,,SOUTH SANDWICH ISLANDS,-56.26,-27.283,105.0,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,BC,196,20,SOUTH SANDWICH ISLANDS,"Year: 1961 
  Location: SOUTH SANDWICH ISLANDS"
1962.0,7.0,26.0,8.0,14.0,41.8,,,PANAMA,7.5,-82.0,21.0,7.4,,,,,,,,,2.0,,,,,,,,,,,,,,,,,BC,196,20,PANAMA,"Year: 1962 
  Location: PANAMA"
1963.0,10.0,13.0,5.0,17.0,53.4,1947.0,,RUSSIA:  KURIL ISLANDS,44.77,149.798,13.0,8.5,9.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,BC,196,20,RUSSIA,"Year: 1963 
  Location: RUSSIA:  KURIL ISLANDS"
1964.0,3.0,28.0,3.0,36.0,0.0,1954.0,,ALASKA,61.016999999999996,-147.648,33.0,9.2,10.0,15.0,1.0,,,,,284.0,4.0,,3.0,,,139.0,3.0,,,,,400.0,4.0,,3.0,,,BC,196,20,ALASKA,"Year: 1964 
  Location: ALASKA"
1965.0,2.0,4.0,5.0,1.0,21.6,1964.0,,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.29,178.55,36.0,8.7,6.0,,,,,,,,1.0,,,,,,,,,,,0.01,1.0,,,,,BC,196,20,ALASKA,"Year: 1965 
  Location: ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS"
1966.0,10.0,17.0,21.0,41.0,56.0,1982.0,,"PERU:  LIMA,HUACHO,HUAURA, CHANCAY,SUPE,SAN NICOLAS",-10.748,-78.638,38.0,8.1,9.0,110.0,3.0,,,3000.0,4.0,35.0,4.0,,,,,110.0,3.0,,,3000.0,4.0,35.0,4.0,,,,,BC,196,20,PERU,"Year: 1966 
  Location: PERU:  LIMA,HUACHO,HUAURA, CHANCAY,SUPE,SAN NICOLAS"
1967.0,1.0,5.0,0.0,14.0,0.0,,,MONGOLIA,48.1,102.8,35.0,7.5,10.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,BC,196,20,MONGOLIA,"Year: 1967 
  Location: MONGOLIA"
1968.0,5.0,16.0,0.0,48.0,55.4,2000.0,,JAPAN:  OFF EAST COAST OF HONSHU ISLAND,40.8,143.2,7.0,8.2,6.0,52.0,2.0,,,330.0,3.0,,3.0,689.0,3.0,,,52.0,2.0,,,330.0,3.0,131.0,4.0,1218.0,4.0,,,BC,196,20,JAPAN,"Year: 1968 
  Location: JAPAN:  OFF EAST COAST OF HONSHU ISLAND"
1969.0,8.0,11.0,21.0,26.0,36.0,2015.0,,"RUSSIA:  SHIKOTAN ISLAND, KURILSKIYE",43.6,147.9,30.0,8.2,9.0,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,BC,196,20,RUSSIA,"Year: 1969 
  Location: RUSSIA:  SHIKOTAN ISLAND, KURILSKIYE"
1970.0,5.0,31.0,20.0,23.0,27.3,2021.0,,"PERU: NORTHERN, PISCO, CHICLAYO",-9.2,-78.8,43.0,7.9,10.0,66794.0,4.0,,,50000.0,4.0,530.0,4.0,,3.0,,3.0,66794.0,4.0,,,50000.0,4.0,530.0,4.0,,3.0,,,BC,197,20,PERU,"Year: 1970 
  Location: PERU: NORTHERN, PISCO, CHICLAYO"
1971.0,1.0,10.0,7.0,17.0,3.7,,,"INDONESIA:  NEW GUINEA: IRIAN JAYA:DJAJAPURA,SENTANI",-3.1,139.7,34.0,8.1,9.0,,,,,,,,2.0,,1.0,,2.0,,,,,,,,2.0,,1.0,,2.0,BC,197,20,INDONESIA,"Year: 1971 
  Location: INDONESIA:  NEW GUINEA: IRIAN JAYA:DJAJAPURA,SENTANI"
1972.0,6.0,11.0,16.0,41.0,0.9,,,INDONESIA:  CELEBES SEA,3.9,124.3,325.0,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,BC,197,20,INDONESIA,"Year: 1972 
  Location: INDONESIA:  CELEBES SEA"
1973.0,6.0,17.0,3.0,55.0,2.9,2060.0,,JAPAN:  HOKKAIDO ISLAND,43.2,145.8,48.0,7.7,8.0,,,,,27.0,1.0,5.0,2.0,2.0,1.0,,,27.0,1.0,,,,,5.0,2.0,2.0,1.0,,,BC,197,20,JAPAN,"Year: 1973 
  Location: JAPAN:  HOKKAIDO ISLAND"
1974.0,10.0,3.0,14.0,21.0,29.1,2068.0,,"PERU:  LIMA, CALLAO",-12.27,-77.79,13.0,8.1,9.0,78.0,2.0,,,2414.0,4.0,10.0,3.0,,3.0,,,78.0,2.0,,,2414.0,4.0,10.0,3.0,,3.0,,,BC,197,20,PERU,"Year: 1974 
  Location: PERU:  LIMA, CALLAO"
1975.0,7.0,20.0,14.0,37.0,39.9,2076.0,,PAPUA NEW GUINEA:  BISMARCK SEA: BOUGAINVILLE,-6.59,155.054,49.0,7.9,8.0,,,,,,,,3.0,,2.0,,,,,,,,,,3.0,,2.0,,,BC,197,20,PAPUA NEW GUINEA,"Year: 1975 
  Location: PAPUA NEW GUINEA:  BISMARCK SEA: BOUGAINVILLE"
1976.0,1.0,14.0,16.0,47.0,33.5,2083.0,,KERMADEC ISLANDS,-28.427,-177.657,33.0,8.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,BC,197,20,KERMADEC ISLANDS,"Year: 1976 
  Location: KERMADEC ISLANDS"
1977.0,4.0,21.0,4.0,24.0,9.6,2090.0,,SOLOMON ISLANDS,-9.965,160.731,33.0,8.1,7.0,18.0,1.0,,,1.0,1.0,,3.0,,,,,18.0,1.0,,,1.0,1.0,,3.0,,,,,BC,197,20,SOLOMON ISLANDS,"Year: 1977 
  Location: SOLOMON ISLANDS"
1978.0,9.0,16.0,15.0,35.0,56.6,,,IRAN:  TABAS,33.385999999999996,57.434,33.0,7.8,,20000.0,4.0,,,,,50.0,4.0,,4.0,,,20000.0,4.0,,,,,50.0,4.0,,4.0,,,BC,197,20,IRAN,"Year: 1978 
  Location: IRAN:  TABAS"
1979.0,9.0,12.0,5.0,17.0,51.4,2119.0,,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-1.679,136.04,5.0,7.9,,15.0,1.0,,,,3.0,,3.0,1000.0,3.0,,,115.0,3.0,,,,3.0,,3.0,1000.0,3.0,,,BC,197,20,INDONESIA,"Year: 1979 
  Location: INDONESIA:  NEW GUINEA:  IRIAN JAYA"
1980.0,7.0,17.0,19.0,42.0,23.2,2125.0,,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS; VANUATU,-12.525,165.916,33.0,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,BC,198,20,SOLOMON ISLANDS,"Year: 1980 
  Location: SOLOMON ISLANDS:  SANTA CRUZ ISLANDS; VANUATU"
1981.0,9.0,1.0,9.0,29.0,31.5,2131.0,,SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO,-14.96,-173.085,25.0,7.7,6.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,BC,198,20,SAMOA,"Year: 1981 
  Location: SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO"
1982.0,12.0,19.0,17.0,43.0,54.8,2137.0,,TONGA TRENCH,-24.133000000000003,-175.864,33.0,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,BC,198,20,TONGA TRENCH,"Year: 1982 
  Location: TONGA TRENCH"
1983.0,5.0,26.0,2.0,59.0,59.6,2142.0,,JAPAN:  HONSHU:  AKITA,40.461999999999996,139.102,24.0,7.7,8.0,4.0,1.0,,,324.0,3.0,800.0,4.0,,,,,104.0,3.0,,,324.0,3.0,800.0,4.0,,,,,BC,198,20,JAPAN,"Year: 1983 
  Location: JAPAN:  HONSHU:  AKITA"
1984.0,2.0,7.0,21.0,33.0,21.4,,,SOLOMON ISLANDS:  GUADALCANAL,-10.012,160.469,18.0,7.5,6.0,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,BC,198,20,SOLOMON ISLANDS,"Year: 1984 
  Location: SOLOMON ISLANDS:  GUADALCANAL"
